INFO  [2020-03-26 04:19:01,973] main                 pid 5329@localhost.localdomain
DEBUG [2020-03-26 04:19:01,975] main                 Using property file /usr/multiverse/bin/multiverse.properties
DEBUG [2020-03-26 04:19:01,976] main                 Properties are:
DEBUG [2020-03-26 04:19:01,976] main                     java.vendor = Oracle Corporation
DEBUG [2020-03-26 04:19:01,977] main                     multiverse.voiceport = 5051
DEBUG [2020-03-26 04:19:01,977] main                     log4j.appender.FILE = org.apache.log4j.RollingFileAppender
DEBUG [2020-03-26 04:19:01,977] main                     sun.java.launcher = SUN_STANDARD
DEBUG [2020-03-26 04:19:01,977] main                     sun.management.compiler = HotSpot 64-Bit Tiered Compilers
DEBUG [2020-03-26 04:19:01,977] main                     multiverse.proxyport = 5050
DEBUG [2020-03-26 04:19:01,977] main                     os.name = Linux
DEBUG [2020-03-26 04:19:01,977] main                     multiverse.db_password = multiverse
DEBUG [2020-03-26 04:19:01,977] main                     sun.boot.class.path = /usr/lib/jvm/java-1.8.0-openjdk-1.8.0.242.b08-0.el7_7.x86_64/jre/lib/resources.jar:/usr/lib/jvm/java-1.8.0-openjdk-1.8.0.242.b08-0.el7_7.x86_64/jre/lib/rt.jar:/usr/lib/jvm/java-1.8.0-openjdk-1.8.0.242.b08-0.el7_7.x86_64/jre/lib/sunrsasign.jar:/usr/lib/jvm/java-1.8.0-openjdk-1.8.0.242.b08-0.el7_7.x86_64/jre/lib/jsse.jar:/usr/lib/jvm/java-1.8.0-openjdk-1.8.0.242.b08-0.el7_7.x86_64/jre/lib/jce.jar:/usr/lib/jvm/java-1.8.0-openjdk-1.8.0.242.b08-0.el7_7.x86_64/jre/lib/charsets.jar:/usr/lib/jvm/java-1.8.0-openjdk-1.8.0.242.b08-0.el7_7.x86_64/jre/lib/jfr.jar:/usr/lib/jvm/java-1.8.0-openjdk-1.8.0.242.b08-0.el7_7.x86_64/jre/classes
DEBUG [2020-03-26 04:19:01,977] main                     multiverse.plugin_dep.sampleworld.MobManager = ObjectManager,WorldManager,Inventory,Quest,Combat
DEBUG [2020-03-26 04:19:01,977] main                     sun.desktop = gnome
DEBUG [2020-03-26 04:19:01,977] main                     multiverse.delete_logs_on_startup = true
DEBUG [2020-03-26 04:19:01,977] main                     java.vm.specification.vendor = Oracle Corporation
DEBUG [2020-03-26 04:19:01,977] main                     java.runtime.version = 1.8.0_242-b08
DEBUG [2020-03-26 04:19:01,977] main                     user.name = dmckay
DEBUG [2020-03-26 04:19:01,978] main                     user.language = en
DEBUG [2020-03-26 04:19:01,978] main                     sun.boot.library.path = /usr/lib/jvm/java-1.8.0-openjdk-1.8.0.242.b08-0.el7_7.x86_64/jre/lib/amd64
DEBUG [2020-03-26 04:19:01,978] main                     multiverse.quad_tree_max_depth = 20
DEBUG [2020-03-26 04:19:01,978] main                     multiverse.world_available_message = DONE INITIALIZING, you can log in now
DEBUG [2020-03-26 04:19:01,978] main                     multiverse.plugin_dep.MobManager = ObjectManager,WorldManager,Inventory,Quest
DEBUG [2020-03-26 04:19:01,978] main                     java.version = 1.8.0_242
DEBUG [2020-03-26 04:19:01,978] main                     log4j.rootLogger = DEBUG, FILE
DEBUG [2020-03-26 04:19:01,978] main                     user.timezone = America/Chicago
DEBUG [2020-03-26 04:19:01,978] main                     multiverse.plugin_dep.Proxy = Instance,Voice
DEBUG [2020-03-26 04:19:01,978] main                     sun.arch.data.model = 64
DEBUG [2020-03-26 04:19:01,978] main                     java.endorsed.dirs = /usr/lib/jvm/java-1.8.0-openjdk-1.8.0.242.b08-0.el7_7.x86_64/jre/lib/endorsed
DEBUG [2020-03-26 04:19:01,978] main                     multiverse.voiceserver = localhost
DEBUG [2020-03-26 04:19:01,978] main                     sun.cpu.isalist = 
DEBUG [2020-03-26 04:19:01,978] main                     sun.jnu.encoding = UTF-8
DEBUG [2020-03-26 04:19:01,979] main                     file.encoding.pkg = sun.io
DEBUG [2020-03-26 04:19:01,979] main                     multiverse.startup_timeout = 120
DEBUG [2020-03-26 04:19:01,979] main                     multiverse.plugin_dep.Quest = 
DEBUG [2020-03-26 04:19:01,979] main                     file.separator = /
DEBUG [2020-03-26 04:19:01,979] main                     java.specification.name = Java Platform API Specification
DEBUG [2020-03-26 04:19:01,980] main                     java.class.version = 52.0
DEBUG [2020-03-26 04:19:01,980] main                     log4j.appender.FILE.layout = org.apache.log4j.PatternLayout
DEBUG [2020-03-26 04:19:01,980] main                     user.country = US
DEBUG [2020-03-26 04:19:01,980] main                     multiverse.plugin_dep.Inventory = 
